经纪公司代码,投资者代码,合约代码,报单引用,用户代码,交易所代码,成交编号,买卖方向,报单编号,会员代码,客户代码,交易角色,合约在交易所的代码,开平标志,投机套保标志,价格,数量,成交时期,成交类型,成交价来源,交易所交易员代码,本地报单编号,结算会员编号,业务单元,序号,交易日,结算编号,经纪公司报单编号,成交来源,经纪公司报单编号
RohonDemo,jxqhhcs01,a1801,1,jxqhhcs01,DCE,                 359,1,536871307,100883,100883,1,a1801,0,1,3797,3,20170911,10:45:23,0,0,100883,536871307,100883,59b5dd2e       96,2,20170911,0,536871307,0
RohonDemo,jxqhhcs01,a1801,2,jxqhhcs01,DCE,                 360,1,536871308,100883,100883,1,a1801,0,1,3797,3,20170911,10:45:58,0,0,100883,536871308,100883,59b5dd2e       96,3,20170911,0,536871308,0
RohonDemo,jxqhhcs01,a1801,3,jxqhhcs01,DCE,                 361,1,536871309,100883,100883,1,a1801,0,1,3798,3,20170911,10:46:03,0,0,100883,536871309,100883,59b5dd2e       96,4,20170911,0,536871309,0
RohonDemo,jxqhhcs01,a1801,4,jxqhhcs01,DCE,                 362,1,536871310,100883,100883,1,a1801,0,1,3798,3,20170911,10:46:08,0,0,100883,536871310,100883,59b5dd2e       96,5,20170911,0,536871310,0
RohonDemo,jxqhhcs01,a1801,5,jxqhhcs01,DCE,                 363,1,536871311,100883,100883,1,a1801,0,1,3798,3,20170911,10:46:13,0,0,100883,536871311,100883,59b5dd2e       96,6,20170911,0,536871311,0
RohonDemo,jxqhhcs01,a1801,6,jxqhhcs01,DCE,                 364,1,536871312,100883,100883,1,a1801,0,1,3798,3,20170911,10:46:18,0,0,100883,536871312,100883,59b5dd2e       96,7,20170911,0,536871312,0
RohonDemo,jxqhhcs01,a1801,7,jxqhhcs01,DCE,                 365,1,536871313,100883,100883,1,a1801,0,1,3798,3,20170911,10:46:23,0,0,100883,536871313,100883,59b5dd2e       96,8,20170911,0,536871313,0
RohonDemo,jxqhhcs01,a1801,8,jxqhhcs01,DCE,                 366,1,536871315,100883,100883,1,a1801,0,1,3798,3,20170911,10:46:28,0,0,100883,536871315,100883,59b5dd2e       96,10,20170911,0,536871315,0
RohonDemo,jxqhhcs01,a1801,9,jxqhhcs01,DCE,                 367,1,536871316,100883,100883,1,a1801,0,1,3798,3,20170911,10:46:33,0,0,100883,536871316,100883,59b5dd2e       96,11,20170911,0,536871316,0
RohonDemo,jxqhhcs01,a1801,10,jxqhhcs01,DCE,                 368,1,536871317,100883,100883,1,a1801,0,1,3797,3,20170911,10:46:38,0,0,100883,536871317,100883,59b5dd2e       96,12,20170911,0,536871317,0
