经纪公司代码,投资者代码,合约代码,报单引用,用户代码,交易所代码,成交编号,买卖方向,报单编号,会员代码,客户代码,交易角色,合约在交易所的代码,开平标志,投机套保标志,价格,数量,成交时期,成交类型,成交价来源,交易所交易员代码,本地报单编号,结算会员编号,业务单元,序号,交易日,结算编号,经纪公司报单编号,成交来源,经纪公司报单编号
RohonDemo,taocs01,a1801,2,taocs01,DCE,                 279,0,536871150,100673,100673,1,a1801,1,1,3823,6,20170803,10:08:56,0,0,100673,2,100673,59827f98       5a,3,20170803,0,536871150,0
RohonDemo,taocs01,a1801,3,taocs01,DCE,                 280,0,536871151,100673,100673,1,a1801,1,1,3822,3,20170803,10:09:01,0,0,100673,3,100673,59827f98       5a,4,20170803,0,536871151,0
RohonDemo,taocs01,a1801,4,taocs01,DCE,                 281,0,536871152,100673,100673,1,a1801,1,1,3822,2,20170803,10:09:06,0,0,100673,4,100673,59827f98       5a,5,20170803,0,536871152,0
RohonDemo,taocs01,a1801,5,taocs01,DCE,                 282,0,536871153,100673,100673,1,a1801,1,1,3822,10,20170803,10:09:11,0,0,100673,5,100673,59827f98       5a,6,20170803,0,536871153,0
RohonDemo,taocs01,a1801,6,taocs01,DCE,                 283,0,536871154,100673,100673,1,a1801,1,1,3822,5,20170803,10:09:21,0,0,100673,6,100673,59827f98       5a,7,20170803,0,536871154,0
RohonDemo,taocs01,a1801,7,taocs01,DCE,                 284,0,536871155,100673,100673,1,a1801,1,1,3822,10,20170803,10:09:26,0,0,100673,7,100673,59827f98       5a,8,20170803,0,536871155,0
RohonDemo,taocs01,a1801,8,taocs01,DCE,                 285,0,536871156,100673,100673,1,a1801,1,1,3822,7,20170803,10:09:31,0,0,100673,8,100673,59827f98       5a,9,20170803,0,536871156,0
RohonDemo,taocs01,a1801,1,taocs01,DCE,                 290,1,536871172,100673,100673,1,a1801,0,1,3822,5,20170803,10:43:57,0,0,100673,1,100673,59827f98       64,10,20170803,0,536871172,0
RohonDemo,taocs01,a1801,2,taocs01,DCE,                 291,1,536871173,100673,100673,1,a1801,0,1,3822,4,20170803,10:44:02,0,0,100673,2,100673,59827f98       64,11,20170803,0,536871173,0
RohonDemo,taocs01,a1801,3,taocs01,DCE,                 292,1,536871174,100673,100673,1,a1801,0,1,3822,4,20170803,10:44:07,0,0,100673,3,100673,59827f98       64,12,20170803,0,536871174,0
RohonDemo,taocs01,a1801,4,taocs01,DCE,                 293,1,536871175,100673,100673,1,a1801,0,1,3822,5,20170803,10:44:12,0,0,100673,4,100673,59827f98       64,13,20170803,0,536871175,0
RohonDemo,taocs01,a1801,5,taocs01,DCE,                 294,1,536871176,100673,100673,1,a1801,0,1,3822,2,20170803,10:44:23,0,0,100673,5,100673,59827f98       64,14,20170803,0,536871176,0
RohonDemo,taocs01,a1801,6,taocs01,DCE,                 295,1,536871177,100673,100673,1,a1801,0,1,3822,2,20170803,10:44:27,0,0,100673,6,100673,59827f98       64,15,20170803,0,536871177,0
RohonDemo,taocs01,a1801,7,taocs01,DCE,                 296,1,536871178,100673,100673,1,a1801,0,1,3822,4,20170803,10:44:32,0,0,100673,7,100673,59827f98       64,16,20170803,0,536871178,0
